CountryName,CountryCode,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Population,GDPOf2019,RankOf2021
Oman,OMN,3.87,3.68,3.62,3.54,3.39,3.27,2.57,1.8,1.85,2.94,3.12,"5,266,535",76983094928,158
Pakistan,PAK,0.8,1.85,2.95,1.83,3.57,3.78,3.92,4.08,3.54,4.3,4.35,"216,565,318",304400000000,136
Panama,PAN,2.38,2.39,2.29,2.71,2.98,3.26,3.86,3.83,4.73,12.85,12.09,"4,246,439",66800800000,39
Papua New Guinea,PNG,2.62,2.54,2.55,2.38,2.48,2.48,2.51,2.56,2.45,2.6,2.75,"8,776,109",24969611435,164
Paraguay,PRY,4.67,4.09,4.38,5.03,4.56,5.25,4.61,6.22,6.59,7.55,7.21,"7,044,636",38145288940,80
Peru,PER,3.48,3.24,3.57,3.21,3.27,3.74,3.69,3.49,3.38,7.18,4.83,"32,510,453",226848050820,124
Philippines,PHL,3.59,3.5,3.5,3.6,3.07,2.7,2.55,2.34,2.24,2.52,2.41,"108,116,615",376795508680,168
Poland,POL,9.63,10.09,10.33,8.99,7.5,6.16,4.89,3.85,3.28,3.16,3.37,"37,970,874",592164400688,156
Portugal,PRT,12.68,15.53,16.18,13.89,12.44,11.07,8.87,6.99,6.46,6.79,6.65,"10,269,417",237686075635,87
Puerto Rico,PRI,15.7,14.5,14.3,13.9,12,11.8,10.8,9.2,8.3,8.89,8.27,"3,193,694",104988600000,67
Qatar,QAT,0.56,0.48,0.28,0.2,0.17,0.15,0.14,0.11,0.1,0.21,0.26,"2,832,067",183466208791,182
Republic of North Macedonia,MKD,31.38,31.02,29,28.03,26.07,23.72,22.38,20.74,17.26,17.2,16.2,"1,836,713",10220781069,20
Romania,ROU,7.18,6.79,7.1,6.8,6.81,5.9,4.93,4.19,3.91,5.03,5.17,"19,356,544",250077444017,114
Russia,RUS,6.54,5.44,5.46,5.16,5.57,5.56,5.21,4.85,4.5,5.59,5.01,"144,373,535",1699876578871,121
Rwanda,RWA,1.1,1.12,1.15,1.17,1.15,1.14,1.14,1.11,1.1,1.49,1.61,"12,626,950",10122472590,175
Saint Lucia,LCA,18.86,19.06,22.21,21.3,20.56,19.65,18.86,19.08,15.32,16.89,16.91,"182,790",2122450630,16
Saint Vincent and the Grenadines,VCT,18.99,18.97,18.99,19.05,19.09,19.11,19.18,19.18,19.28,21,21.62,"100,455",825385185,9
Samoa,WSM,5.68,8.75,8.67,8.72,8.5,8.31,8.58,8.69,8.41,9.15,9.84,"202,506",850655017,51
São Tomé and Príncipe,STP,14.11,13.59,13.65,13.7,13.82,13.89,13.97,14.06,14.14,15.75,15.91,"215,056",429016605,21
Saudi Arabia,SAU,5.77,5.52,5.57,5.72,5.59,5.65,5.89,6.04,5.67,7.45,7.36,"34,268,528",792966838162,79
